"ID","happens_Concerned","happens_Skeptical","doesnt_Concerned","doesnt_Skeptical"
"6 month pause",0.09,9e-04,0.2175,0.00100526315789474
"AI Forecasting skill",0.26,0.002,0.21,0.001
"AI Robotics",0.25,0.002,0.2,0.00115789473684211
"AI articles and apps",0.21,0.002,0.21,0.001
"AI coding",0.25,0.0012,0.16,0.0012
"AI solving novel math problems",0.2,0.0012,0.2375,0.001
"AI writes AI",0.3,0.0021,0.207070707070707,0.000977777777777778
"Alignment researchers changing minds",0.06,0.001,0.323880597014925,0.00102319587628866
"Alignment solution",0.02,0.001,0.238235294117647,0.00101764705882353
"Cyberattacks",0.21,0.0012,0.21,0.0009997997997998
"Democratic influence",0.2,0.01,0.209045226130653,0.000979591836734694
"Escalating warning shots",0.37,0.0032,0.233333333333333,0.000954773869346734
"Evidence of misalignment",0.2,0.0025,0.12,0.00148936170212766
"Fast AI efficiency gains",0.32,0.003,0.230588235294118,0.001
"IC demonstration",0.21,0.0015,0.21,0.000994949494949495
"IT progress",0.24,0.0012,0.171428571428571,0.001
"Intergovernmental AI safety",0.17,0.001,0.222222222222222,0.00123529411764706
"Major powers war",0.4,0.002,0.188888888888889,0.00120408163265306
"Muehlhauser policies",0.2,0.001,0.228571428571429,0.00104285714285714
"No violence LLM",0.08,0.001,0.2375,0.001
"Non-democracy AI",0.238,0.0018,0.194444444444444,0.00205
"Other fields IC",0.21,0.0013,0.21,0.0011
"Platform: AI regulation",0.18,0.001,0.277659574468085,0.00141666666666667
"Platform: ARC Evals",0.25,0.01,0.227777777777778,0.000954773869346734
"Platform: Escalating warning shots",0.17,0.013,0.233783783783784,0.000994987468671679
"Platform: Transformative growth",0.26,0.005,0.1975,0.000995995995995996
"Politicization",0.3,0.0012,0.16875,0.0012
"Power-seeking",0.18,0.0022,0.213333333333333,0.001
"Power-seeking shutdown",0.3,0.002,0.177777777777778,0.00116666666666667
"Progress in lethal technologies",0.25,0.0075,0.25,0.0019247311827957
"Public concern",0.25,0.0013,0.205263157894737,0.00118888888888889
"Reduction in AI investment",0.1,5e-04,0.257894736842105,0.00105555555555556
"Req testing",0.21,0.001,0.21,0.00100555555555556
"Short-term GDP change",0.25,0.001,0.25,0.001
"Supers changing minds",0.28,0.01,0.166666666666667,0.000204081632653061
"Taiwan-China",0.22,0.002,0.1,0.001
"Warning shot",0.32,0.0025,0.22,0.000997959183673469
